Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-02,Año Nuevo,New Year's Day,CL,False,True,,Public,
2023-04-07,Viernes Santo,Good Friday,CL,False,True,,Public,
2023-04-08,Sábado Santo,Holy Saturday,CL,False,True,,Public,
2023-05-01,Día del Trabajo,Labour Day,CL,True,True,,Public,
2023-05-21,Día de las Glorias Navales,Navy Day,CL,True,True,,Public,
2023-06-21,Día Nacional de los Pueblos Indígenas,National Day of Indigenous Peoples,CL,False,True,,Public,
2023-06-26,San Pedro y San Pablo,Saint Peter and Saint Paul,CL,False,True,,Public,
2023-07-16,Virgen del Carmen,Our Lady of Mount Carmel,CL,True,True,2007,Public,
2023-08-15,Asunción de la Virgen,Assumption of Mary,CL,True,True,,Public,
2023-09-18,Fiestas Patrias,National holiday,CL,True,True,,Public,
2023-09-19,Día de las Glorias del Ejército,Army Day,CL,True,True,,Public,
2023-10-09,Día del Descubrimiento de Dos Mundos,Columbus Day,CL,False,True,,Public,
2023-10-27,Día Nacional de las Iglesias Evangélicas y Protestantes,Reformation Day,CL,False,True,,Public,
2023-11-01,Día de Todos los Santos,All Saints,CL,True,True,,Public,
2023-12-08,Inmaculada Concepción,Immaculate Conception,CL,True,True,,Public,
2023-12-25,Navidad / Natividad del Señor,Christmas Day,CL,True,True,,Public,
